Country,Score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Jordan,4.185800075531006,4.305871963500977,4.065728187561035,1.2622883319854736,0.9829585552215576,0.5943453311920166,0.5932228565216064,0.05932592228055,0.18945163488388062,0.5041849613189697
India,4.054100036621094,4.122965335845947,3.9852349758148193,1.1661732196807861,0.6526671648025513,0.4170070290565491,0.7665984630584717,0.1739247590303421,0.12202008068561554,0.7556631565093994
Egypt,3.976599931716919,4.066122055053711,3.887077808380127,1.3699750900268555,0.9958513975143433,0.4876794219017029,0.4897022247314453,0.025354642421007156,0.2592211365699768,0.3487844467163086
Sri Lanka,3.898099899291992,4.017719745635986,3.778479814529419,1.3609724044799805,1.1786798238754272,0.5860215425491333,0.5830621719360352,0.14405952394008636,0.030845755711197853,0.014495372772216797
Bangladesh,3.8859000205993652,3.9940617084503174,3.777738332748413,1.1216069459915161,0.24916358292102814,0.5133201479911804,0.7748538851737976,0.14038580656051636,0.16744175553321838,0.9191632270812988
Ethiopia,3.8608999252319336,3.996579885482788,3.725219964981079,0.7915603518486023,0.9149188995361328,0.4197959899902344,0.44089117646217346,0.27031683921813965,0.1006753146648407,0.9227719306945801
Tanzania,3.780600070953369,3.9173641204833984,3.64383602142334,0.8201370239257812,0.706039547920227,0.3797157108783722,0.709255039691925,0.1911744773387909,0.2572048306465149,0.7170729637145996
Comoros,3.5662999153137207,3.754331588745117,3.378268241882324,0.8955318927764893,0.3279953896999359,0.3702203333377838,0.17212426662445068,0.12847408652305603,0.1596972793340683,1.5122928619384766
Yemen,3.561000108718872,3.714001417160034,3.40799880027771,0.6712790131568909,1.2814736366271973,0.29267072677612305,0.3623776137828827,0.08011560142040253,0.11316867917776108,0.7598974704742432
Zambia,3.5023999214172363,3.6363236904144287,3.368476152420044,0.8989716172218323,0.8089185953140259,0.2640199065208435,0.7270592451095581,0.16764073073863983,0.10934242606163025,0.526416540145874
Eswatini,3.502000093460083,3.6732585430145264,3.3307416439056396,1.2553025484085083,0.9251137375831604,0.175948366522789,0.28414106369018555,0.05936242267489433,0.11585400253534317,0.6862807273864746
Malawi,3.4210000038146973,3.5608584880828857,3.281141519546509,0.6169111132621765,0.41037529706954956,0.3491171598434448,0.5708924531936646,0.13481661677360535,0.13581052422523499,1.2030868530273438
Botswana,3.3833999633789062,3.5575714111328125,3.209228515625,1.4446913003921509,0.9686105251312256,0.2414112687110901,0.5667081475257874,0.0144267613068223,0.08207224309444427,0.06551694869995117
Zimbabwe,3.341099977493286,3.456573724746704,3.225626230239868,0.7483372092247009,0.8500819802284241,0.23206385970115662,0.48692381381988525,0.09612565487623215,0.13059785962104797,0.7970123291015625
Congo (Kinshasa),3.2953999042510986,3.4623279571533203,3.128471851348877,0.5336700081825256,0.6647000312805176,0.26150763034820557,0.47270506620407104,0.18867595493793488,0.07216711342334747,1.1020140647888184
Sierra Leone,3.2451999187469482,3.3662519454956055,3.124147891998291,0.6542783975601196,0.5659774541854858,0.2533208131790161,0.46903476119041443,0.1813645362854004,0.05329902842640877,1.0679059028625488
Lesotho,3.186199903488159,3.468784809112549,2.9036149978637695,0.770806610584259,0.8505873084068298,0.0,0.5231882333755493,0.08208690583705902,0.08496851474046707,0.8745248317718506
Lebanon,2.7065000534057617,2.796743631362915,2.6162564754486084,1.3767255544662476,0.5767129063606262,0.5562468767166138,0.1732231229543686,0.06764092296361923,0.028772255405783653,-0.0728306770324707
Afghanistan,1.7209999561309814,1.7752714157104492,1.6667284965515137,0.6281381845474243,0.0,0.24176324903964996,0.0,0.09073574841022491,0.08847065269947052,0.6719028949737549
